part_number,gc_instock,gc_instock_qty,gc_restock_date,gc_restock_qty,gc_status,gc_discontinued
hde013,yes,73,5/5/2024,84,enabled,D
msj000c,yes,91,5/6/2024,66,disabled,no
msj003c,no,8,5/7/2024,11,active,no
msj006c,no,12,5/8/2024,58,enabled,yes
msj009c,yes,9,5/9/2024,4,active,yes
msj012c,yes,50,5/10/2024,24,disabled,yes
msj015c,no,83,5/11/2024,96,active,no
mtk000c,no,20,5/12/2024,50,active,no
mtk002c,no,48,5/13/2024,10,enabled,yes
mtk004c,no,9,5/14/2024,80,active,no
mtk006c,yes,63,5/15/2024,54,active,yes
mtk009c,yes,57,5/16/2024,26,enabled,no
mtk012c,no,77,5/17/2024,52,enabled,yes
mpd003c,yes,19,5/18/2024,98,enabled,yes
mpd006c,yes,28,5/19/2024,20,active,no
mpd012c,no,42,5/20/2024,28,active,yes
wbk000c,yes,75,5/21/2024,25,active,yes
wbk003c,yes,69,5/22/2024,48,enabled,no
wbk006c,yes,28,5/23/2024,53,inactive,no
wbk009c,no,6,5/24/2024,85,enabled,no
wbk012c,no,36,5/25/2024,15,inactive,no
wsd000c,no,100,5/26/2024,6,inactive,yes
wsd005c,no,25,5/27/2024,3,disabled,no
wsd008c,yes,93,5/28/2024,1,active,yes
wsd013c,no,31,5/29/2024,67,disabled,yes
wpd000c,no,16,5/30/2024,10,active,yes
wpd005c,yes,72,5/31/2024,55,active,yes
wpd010c,no,31,6/1/2024,61,inactive,yes
aws000c,no,32,6/2/2024,83,inactive,no
aws005c,yes,12,6/3/2024,40,active,yes
aws010c,yes,78,6/4/2024,63,active,no
ams000c,yes,29,6/5/2024,75,inactive,yes
ams005c,no,85,6/6/2024,95,active,no
ams010c,no,26,6/7/2024,22,inactive,no
abl006c,yes,36,6/8/2024,45,inactive,no
hdd001c,yes,37,6/9/2024,81,enabled,yes
abl008,no,52,6/10/2024,10,active,no
hdd003,yes,97,6/11/2024,71,active,no
hde007,yes,17,6/12/2024,13,inactive,no
hde008,no,40,6/13/2024,80,active,no
hde009,yes,28,6/14/2024,80,active,no
hde014,yes,52,6/15/2024,64,active,no
hdb010,no,77,6/16/2024,3,active,yes
hbm000,no,8,6/17/2024,83,inactive,yes
hbm002,no,10,6/18/2024,8,active,no
hbm003 ,yes,91,6/19/2024,10,enabled,yes
mpd000c,no,91,6/20/2024,68,disabled,no
mpd000,yes,36,6/21/2024,21,disabled,yes
mpd001,no,9,6/22/2024,14,enabled,no
mpd002,yes,4,6/23/2024,40,active,yes
mpd00336,no,89,6/24/2024,85,enabled,yes
mpd00338,no,69,6/25/2024,46,enabled,no
mpd00331,yes,26,6/26/2024,98,inactive,no
mpd00328,no,36,6/27/2024,64,active,yes
mpd00028,no,27,6/28/2024,38,enabled,no
mpd00031,no,70,6/29/2024,97,enabled,yes
mpd00036,no,27,6/30/2024,100,disabled,yes
mpd00038,no,90,7/1/2024,38,inactive,no
mtk004xs,yes,22,7/2/2024,94,enabled,yes
mtk004m,yes,92,7/3/2024,95,active,yes
mtk002s,yes,17,7/4/2024,22,enabled,no
mtk002xs,no,69,7/5/2024,63,active,yes
mtk002xl,yes,33,7/6/2024,41,inactive,no
mtk004xl,no,96,7/7/2024,84,disabled,no
mtk000l,yes,76,7/8/2024,19,active,yes
mtk000xl,no,36,7/9/2024,51,disabled,no
mtk000xs,no,42,7/10/2024,91,disabled,no
mtk006xs,yes,78,7/11/2024,51,active,yes
mtk006xl,no,37,7/12/2024,6,enabled,no
mtk009xs,yes,87,7/13/2024,62,disabled,yes
mtk009xl,no,90,7/14/2024,51,active,no
mtk012xs,no,38,7/15/2024,79,inactive,no
mtk012xl,yes,35,7/16/2024,8,active,no
msj000xs,yes,51,7/17/2024,33,active,yes
msj000xl,yes,1,7/18/2024,5,enabled,yes
msj003xs,no,75,7/19/2024,91,inactive,no
